,Shift,Name,Mean Prop,Valency
0,-2345,cis-Pt(en)Cl2,12.0,4.0
1,-2386,"cis-Pt(N,N-(Me)4en)Cl2",12.0,4.0
2,-2433,"cis-Pt(N,N-(Me)2en)Cl2",12.0,4.0
3,-2355,cis-Pt(N-(Me)2en)Cl2,12.0,4.0
4,-2219,cis-Pt(cba)NH3Cl2,12.0,4.0
5,-2235,cis-Pt(cba)2Cl2,12.0,4.0
6,-2225,trans-Pt(cba)2Cl2,12.0,4.0
7,-2222,cis-Pt(MeNH2)2Cl2,12.0,4.0
8,-2188,cis-Pt(Me2NH)2Cl2,12.0,4.0
9,-2181,trans-Pt(Me2NH)2Cl2,12.0,4.0
10,-1842,[Pt(MeNH2)Cl3]-,14.5,4.0
11,-1850,[Pt(EtNH2)Cl3]-,14.5,4.0
12,-1852,[Pt(cba)Cl3]-,14.5,4.0
13,-1847,[Pt(cpa)Cl3]-,14.5,4.0
14,-1825,[Pt(Me2NH)Cl3]-,14.5,4.0
15,-1998,cis-Pt(py)2Cl2,12.0,4.0
16,-1948,trans-Pt(py)2Cl2,12.0,4.0
17,-2014,"cis-Pt(2,4-lutidine)Cl2",12.0,4.0
18,-1960,"trans-Pt(2,4-lutidine)Cl2",12.0,4.0
19,-2011,"cis-Pt(3,5-lutidine)Cl2",12.0,4.0
20,-1958,"trans-Pt(3,5-lutidine)Cl2",12.0,4.0
21,-2008,cis-Pt(3-picoline)Cl2,12.0,4.0
22,-1955,trans-Pt(3-picoline)Cl2,12.0,4.0
23,-2021,cis-Pt(2-picoline)Cl2,12.0,4.0
24,-1973,trans-Pt(2-picoline)Cl2,12.0,4.0
25,-2003,cis-Pt(4-picoline)Cl2,12.0,4.0
26,-1948,trans-Pt(4-picoline)Cl2,12.0,4.0
27,-1628,[PtCl4]-2,17.0,4.0
28,-3426,cis-[Pt(NH3)(SOMe2)2(H2O)]2+,11.75,4.0
29,-2965,trans-[Pt(NH3)(SOMe2)2(H2O)]2+,11.75,4.0
30,-3487,cis-[Pt(NH3)(SOMe2)2Cl]+,14.0,4.0
31,-3613,cis-[Pt(NH3)(SOMe2)2Br]+,18.5,4.0
32,-3315,cis-[Pt(NH3)2(SOMe2)Br]+,16.25,4.0
33,-3218,trans-[Pt(NH3)2(SOMe2)Br]+,16.25,4.0
34,-3779,[Pt(en)(SOMe2)I]+,20.75,4.0
